,RowNumber,CustomerId,Surname,CreditScore,Geography,Gender,Age,Tenure,Balance,NumOfProducts,HasCrCard,IsActiveMember,EstimatedSalary,Exited,Complain,Satisfaction Score,Card Type,Point Earned
0,1,15634602,HARGRAVE,619,France,Female,42,2,0,1,1,1,101348.88,1,1,2,DIAMOND,464
1,2,15647311,HILL,608,Spain,Female,41,1,83807.86,1,0,1,112542.58,0,1,3,DIAMOND,456
4,5,15737888,MITCHELL,850,Spain,Female,43,2,125510.82,1,1,1,79084.1,0,0,5,GOLD,425
6,7,15592531,BARTLETT,822,France,Male,50,7,0,2,1,1,10062.8,0,0,2,SILVER,206
8,9,15792365,HE,501,France,Male,44,4,142051.07,2,0,1,74940.5,0,0,3,GOLD,251
9,10,15592389,H?,684,France,Male,27,2,134603.88,1,1,1,71725.73,0,0,3,GOLD,342
14,15,15600882,SCOTT,635,Spain,Female,35,7,0,2,1,1,65951.65,0,0,2,GOLD,318
15,16,15643966,GOFORTH,616,Germany,Male,45,3,143129.41,2,0,1,64327.26,0,0,5,GOLD,308
17,18,15788218,HENDERSON,549,Spain,Female,24,9,0,2,1,1,14406.41,0,0,3,SILVER,544
19,20,15568982,HAO,726,France,Female,24,6,0,2,1,1,54724.03,0,0,4,GOLD,477
20,21,15577657,MCDONALD,732,France,Male,41,8,0,2,1,1,170886.17,0,0,3,PLATINUM,568
23,24,15725737,MOSMAN,669,France,Male,46,3,0,2,0,1,8487.75,0,0,2,SILVER,665
24,25,15625047,YEN,846,France,Female,38,5,0,1,1,1,187616.16,0,0,3,PLATINUM,225
25,26,15738191,MACLEAN,577,France,Male,25,3,0,2,0,1,124508.29,0,0,3,PLATINUM,659
26,27,15736816,YOUNG,756,Germany,Male,36,2,136815.64,1,1,1,170041.95,0,0,5,DIAMOND,236
28,29,15728693,MCWILLIAMS,574,Germany,Female,43,3,141349.43,1,1,1,100187.43,0,0,5,DIAMOND,499
29,30,15656300,LUCCIANO,411,France,Male,29,0,59697.17,2,1,1,53483.21,0,0,2,GOLD,343
31,32,15706552,ODINAKACHUKWU,533,France,Male,36,7,85311.7,1,0,1,156731.91,0,0,5,SILVER,628
33,34,15659428,MAGGARD,520,Spain,Female,42,6,0,2,1,1,34410.55,0,0,2,SILVER,922
34,35,15732963,CLEMENTS,722,Spain,Female,29,9,0,2,1,1,142033.07,0,0,5,PLATINUM,276
36,37,15788448,WATSON,490,Spain,Male,31,3,145260.23,1,0,1,114066.77,0,0,4,SILVER,471
